"Município";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";" Total"
"240750 MAXARANGUAPE";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,63";"1,44";"0";"0";"0,07"
"240760 MESSIAS TARGINO";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1,61";"0";"0,06"
"240770 MONTANHAS";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,70";"0,68";"0";"0,57";"0,06"
"240780 MONTE ALEGRE";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,33";"0";"0";"0,34";"0,71";"0,36";"0,06"
"240790 MONTE DAS GAMELEIRAS";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2,33";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2,08";"0";"0";"0,18"
"240800 MOSSORO";"0";"0";"0";"0";"0,02";"0,25";"3,69";"1,26";"4,96";"0,20";"0";"0";"0,16";"0,19";"0,20";"0,35";"0,15";"0,10";"0,20";"0,10";"0,10";"1,03";"0,13";"0,53";"0,53";"0,53";"0,30";"0,55"
"240810 NATAL";"0";"0";"0";"2,16";"2,03";"3,08";"5,05";"2,57";"1,82";"1,29";"0,99";"3,42";"3,15";"1,85";"0,50";"0,49";"0,36";"0,13";"0,26";"0,21";"0,38";"0,44";"0,44";"0,23";"0,87";"0,62";"5,34";"1,44"
"240820 NISIA FLORESTA";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,26";"0";"0";"0,75";"0,05"
"240830 NOVA CRUZ";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,69";"0";"0";"0";"0,21";"1,30";"0,20";"0";"0,07"
"240840 OLHO-D\'AGUA DO BORGES";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"8,11";"0";"0";"0";"2,78";"0";"0,29"
"240850 OURO BRANCO";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3,77";"0";"1,89";"0";"0";"0";"1,69";"0";"0";"1,67";"1,64";"0";"0,37"
"240860 PARANA";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3,39";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3,23";"1,67";"0";"0,33"
"240870 PARAU";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"54,39";"82,76";"11,48";"6,00";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"6,27"
"240890 PARELHAS";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,30";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,31";"0,32";"0,36";"0";"0,05"
"240910 PASSA E FICA";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,68";"0";"0";"0,03"
"240930 PATU";"0";"0";"0";"0";"0";"0";"0,39";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1,43";"0";"0";"0";"0,07"
"240940 PAU DOS FERROS";"0";"0";"0";"0";"0";"3,33";"42,21";"38,58";"0";"0";"0";"0,52";"0";"0";"0";"0,23";"0,23";"0";"0";"0,44";"0";"0";"0";"0";"0,25";"1,21";"0,48";"3,81"
"240950 PEDRA GRANDE";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1,92";"0";"0,06"
"240980 PEDRO VELHO";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,37";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,55";"0";"0,03"
"240990 PENDENCIAS";"0";"0";"0";"0";"0";"0";"0";"0,63";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,77";"0";"0";"0,05"
"241010 POCO BRANCO";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,53";"0";"0,53";"0";"0";"0";"0";"0";"1,66";"0";"2,04";"0";"0";"0,15"
"241020 PORTALEGRE";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1,00";"0";"0,04"
"241025 PORTO DO MANGUE";"0";"0";"0";"0";"0";"0";"1,61";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1,37";"0";"0";"0";"0";"0,14"
"241030 SERRA CAIADA";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,71";"0";"0";"0,03"
"241040 PUREZA";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,74";"0";"0,03"
"241050 RAFAEL FERNANDES";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1,49";"0";"0";"0";"0,06"
"241090 RIACHUELO";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,86";"0";"0";"0";"0";"0";"0,04"
"241105 TIBAU";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1,32";"0";"0";"0";"0,09"
"241120 SANTA CRUZ";"0";"0";"0";"0";"0";"0";"0,15";"0,54";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,17";"0,34";"0";"0";"0";"0";"0,32";"0,82";"0,53";"0,89";"0,13"
"241140 SANTANA DO MATOS";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1,85";"0,04"
"241142 SANTANA DO SERIDO";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3,85";"0";"0";"0,11"
"241150 SANTO ANTONIO";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,30";"0,61";"0,37";"0,74";"0,06"
"241170 SAO BENTO DO TRAIRI";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4,88";"1,64";"0";"0,18"
"241180 SAO FERNANDO";"0";"0";"0";"0";"0";"1,47";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,09"
"241190 SAO FRANCISCO DO OESTE";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1,59";"0";"0";"0";"0,08"
"241200 SAO GONCALO DO AMARANTE";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,69";"0,97";"0";"0";"0,06";"0";"0";"0,06";"0";"0,11";"0,19";"0,35";"0,35";"0,11"
"241220 SAO JOSE DE MIPIBU";"0";"0";"0";"0";"0";"9,52";"17,06";"25,55";"8,61";"22,64";"0";"0";"0";"0,16";"0";"0";"0";"0,15";"0";"0";"0";"0";"0";"0";"0,40";"0,42";"0";"3,79"
"241230 SAO JOSE DO CAMPESTRE";"0";"0";"0";"0";"0";"0";"0";"1,22";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,73";"0";"0";"0,09"
"241250 SAO MIGUEL";"0";"0";"0";"0";"0";"0";"0,20";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,37";"0";"0,31";"0,56";"1,16";"0,23";"0,10"
"241255 SAO MIGUEL DO GOSTOSO";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1,82";"1,82";"0,09"
"241260 SAO PAULO DO POTENGI";"0";"0";"0";"0";"0";"37,16";"0";"0";"0";"0";"0";"0";"0";"0,78";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,46";"0";"0";"2,01"
"241270 SAO PEDRO";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1,47";"0";"0";"0";"0,04"
"241300 SAO VICENTE";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1,49";"0";"0";"1,49";"0";"6,06";"0";"1,33";"1,33";"3,70";"3,17";"0";"0,59"
"241320 SENADOR GEORGINO AVELINO";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1,59";"0";"0";"0";"0";"0";"0";"0";"0";"0";"25,76";"0";"0";"1,13"
"241330 SERRA DE SAO BENTO";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2,63";"0";"1,15";"0,12"
"241335 SERRA DO MEL";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,60";"0";"0";"0,02"
"241340 SERRA NEGRA DO NORTE";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,94";"0";"0";"0";"0";"0";"0";"0";"1,27";"0";"0";"0,07"
"241350 SERRINHA";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,97";"0";"2,33";"1,16";"0,12"
"241355 SERRINHA DOS PINTOS";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4,65";"0";"0";"0,19"
"241360 SEVERIANO MELO";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5,13";"0";"0";"0";"1,16";"0";"0";"0,18"
"241370 SITIO NOVO";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3,08";"0";"4,26";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,32"
"241380 TABOLEIRO GRANDE";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2,70";"0";"0,11"
"241410 TENENTE ANANIAS";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"7,19";"0";"0,67";"0,67";"0,67";"0";"0";"0";"0";"0";"0";"0";"0,76";"0,44"
"241415 TENENTE LAURENTINO CRUZ";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,79";"0";"0";"0";"0";"0";"0";"0";"0";"1,15";"2,15";"0";"0";"0,19"
"241420 TIBAU DO SUL";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,43";"0";"0,03"
"241440 TOUROS";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,24";"0";"0";"0,01"
"241445 TRIUNFO POTIGUAR";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1,89";"0";"0,07"
"241450 UMARIZAL";"0";"0";"0";"0";"0";"0";"10,09";"20,12";"27,78";"5,17";"0";"0";"0";"0";"0";"0";"0";"0,62";"0";"0";"0";"0";"0";"0";"1,06";"0";"0";"3,05"
"241460 UPANEMA";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,51";"0";"0";"0";"0,54";"0";"0,64";"0,69";"0";"0,09"
"241475 VENHA-VER";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1,72";"0";"0";"0";"0";"0";"0";"2,27";"2,27";"0,24"
"241480 VERA CRUZ";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,59";"0,02"
"241490 VICOSA";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"6,67";"0,15"
"241500 VILA FLOR";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4,44";"0";"0";"1,61";"0,21"
"250010 AGUA BRANCA";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3,68";"1,85";"0,93";"0,21"
"250020 AGUIAR";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1,69";"1,69";"0,10"
"250030 ALAGOA GRANDE";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,89";"0";"0,28";"0,03"
"250040 ALAGOA NOVA";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,30";"0,01"
"250050 ALAGOINHA";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,83";"0";"2,12";"0,12"
"250053 ALCANTIL";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"15,83";"1,19"
"250057 ALGODAO DE JANDAIRA";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1,96";"0,12"
"250060 ALHANDRA";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1,57";"0,23";"0";"0";"0,23";"13,72";"0,74"
"250070 SAO JOAO DO RIO DO PEIXE";"0";"0";"0";"0";"0";"0";"0";"0";"0";"13,06";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,71"
"250073 AMPARO";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"14,71";"0,95"
"250077 APARECIDA";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1,05";"1,39";"4,17";"0,26"
"250080 ARACAGI";"0";"0";"0";"0";"0";"4,73";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1,42";"0,99";"16,34";"0,88"
"250100 ARARUNA";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,94";"45,07";"1,34"
"250110 AREIA";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,28";"0";"4,75";"0,18"
"250115 AREIA DE BARAUNAS";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"29,73";"1,42"
"250120 AREIAL";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,94";"0,04"
"250130 AROEIRAS";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1,06";"0,95";"34,70";"1,24"
"250135 ASSUNCAO";"0";"0";"0";"0";"0";"2,63";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5,00";"1,54";"3,08";"0,60"
"250140 BAIA DA TRAICAO";"0";"0";"0";"0";"0";"30,36";"0";"0";"0";"32,39";"60,90";"38,01";"39,55";"40,96";"46,07";"45,71";"40,00";"37,14";"85,71";"45,88";"41,52";"39,73";"41,61";"57,14";"31,39";"34,50";"5,26";"30,10"
"250150 BANANEIRAS";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,32";"0";"0,70";"16,03";"0,57"
"250153 BARAUNA";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2,13";"0";"0";"0,09"
"250157 BARRA DE SANTANA";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"19,00";"0,78"
"250160 BARRA DE SANTA ROSA";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,72";"2,88";"0,72";"0,11"
"250170 BARRA DE SAO MIGUEL";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1,52";"0";"27,71";"1,19"
"250180 BAYEUX";"0";"0";"0";"0";"0";"0,20";"0";"0";"0";"0";"0";"0";"0,97";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,07";"0,32";"0,37";"4,34";"0,22"
"250190 BELEM";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"14,58";"0,47"
"250200 BELEM DO BREJO DO CRUZ";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1,15";"1,43";"0";"0,07"
"250205 BERNARDINO BATISTA";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2,08";"0,09"
"250210 BOA VENTURA";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5,49";"2,20";"0,30"
"250215 BOA VISTA";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,93";"3,37";"0";"3,00";"0,36"
"250230 BOM SUCESSO";"0";"0";"0";"0";"0";"0";"0";"5,49";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2,17";"0";"0,34"
"250240 BONITO DE SANTA FE";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1,54";"0";"0,05"
"250250 BOQUEIRAO";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,82";"0,40";"12,15";"0,43"
"250260 IGARACY";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4,48";"0";"0";"0,14"
"250270 BORBOREMA";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1,72";"0";"26,39";"1,10"
"250280 BREJO DO CRUZ";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,66";"1,32";"0,07"
"250290 BREJO DOS SANTOS";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1,01";"0";"0";"0,05"
"250300 CAAPORA";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,25";"0,91";"0";"19,10";"0,78"
"250310 CABACEIRAS";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1,54";"0";"0";"55,93";"1,95"
"250320 CABEDELO";"0";"0";"0";"0";"0";"0";"0,12";"0";"0";"0,10";"0,22";"0,11";"0,12";"0";"0";"0,11";"0";"0";"0";"0";"0,11";"0,10";"0";"0,11";"0,63";"0,54";"10,16";"0,50"
"250330 CACHOEIRA DOS INDIOS";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,79";"0";"0";"0";"0,03"
"250340 CACIMBA DE AREIA";"0";"0";"0";"0";"0";"35,29";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"23,26";"2,49"
"250350 CACIMBA DE DENTRO";"0";"0";"0";"0";"0";"2,70";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,96";"0,90";"4,48";"0,35"
"250360 CAICARA";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1,30";"40,26";"1,14"
"250370 CAJAZEIRAS";"0";"0";"0";"0";"0";"0";"0,31";"0";"0";"0";"0";"0";"0";"0";"0,12";"0";"0";"1,62";"0,12";"0,80";"0,22";"1,01";"0,12";"0,95";"1,30";"1,29";"4,35";"0,44"
"250375 CAJAZEIRINHAS";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1,67";"0";"0";"0";"0";"0";"0";"0";"0";"0";"7,84";"0,49"
"250380 CALDAS BRANDAO";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1,28";"0";"0,05"
"250390 CAMALAU";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"6,98";"0,30"
"250400 CAMPINA GRANDE";"0";"0";"0";"0";"0";"0,55";"0,04";"0";"0,02";"0";"0,05";"0,05";"0,03";"0,08";"0,33";"0,03";"0,06";"0,05";"0,08";"0,11";"0,02";"0,03";"0,06";"0,06";"0,36";"0,45";"2,57";"0,19"
"250403 CAPIM";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1,01";"0,93";"0";"17,12";"1,10"
"250407 CARAUBAS";"0";"0";"0";"0";"0";"7,02";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2,27";"0";"0";"25,49";"1,64"
"250415 CASSERENGUE";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"18,45";"0,85"
"250420 CATINGUEIRA";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"15,79";"0,57"
"250430 CATOLE DO ROCHA";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,41";"0";"0";"0";"0";"0";"0,25";"0";"0";"0";"0,25";"0";"5,17";"0,22"
"250435 CATURITE";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"38,81";"1,77"
"250440 CONCEICAO";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,73";"2,07";"2,70";"3,60";"0,27"
"250460 CONDE";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,20";"0,22";"2,01";"0,12"
"250470 CONGO";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2,41";"4,82";"0,35"
"250480 COREMAS";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,53";"0";"0,51";"0";"0,95";"2,38";"0,16"
"250485 COXIXOLA";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"13,04";"0,91"
"250490 CRUZ DO ESPIRITO SANTO";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4,06";"0";"0";"0";"0";"0,35";"0";"10,22";"0,72"
"250500 CUBATI";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1,09";"21,74";"0,77"
"250510 CUITE";"0";"0";"0";"0";"0";"0";"0,23";"0";"0";"0";"0";"0";"0";"0";"0,29";"0";"0";"0";"0";"1,56";"0";"0";"0,39";"2,73";"2,06";"2,66";"6,08";"0,48"
"250520 CUITEGI";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2,44";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,76";"0,89";"1,79";"0,23"
"250523 CUITE DE MAMANGUAPE";"0";"0";"0";"0";"0";"0";"0";"0";"3,30";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1,23";"1,09";"1,94";"8,74";"0,73"
