"Município";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";" Total"
"110028 ROLIM DE MOURA";"0,17";"29,81";"54,76";"109,00";"136,54";"97,10";"108,73";"119,87";"120,02";"91,98";"69,47";"109,12";"105,59";"85,30";"112,99";"99,01";"88,75";"101,48";"102,47";"90,88";"100,86";"103,53";"102,22";"117,11";"91,35";"78,19";"50,47";"86,29"
"110029 SANTA LUZIA D\'OESTE";"0";"75,80";"74,64";"223,57";"190,70";"79,05";"95,56";"94,20";"83,01";"78,54";"77,85";"128,57";"123,64";"90,15";"140,00";"111,30";"128,70";"155,65";"126,96";"115,09";"104,24";"135,71";"126,21";"133,98";"89,47";"75,00";"77,68";"91,43"
"110030 VILHENA";"22,93";"152,05";"136,33";"159,73";"154,42";"123,77";"117,06";"129,03";"109,41";"99,34";"70,82";"92,66";"97,28";"109,36";"98,42";"93,75";"94,76";"96,05";"92,60";"98,18";"109,06";"100,94";"113,54";"104,09";"88,86";"97,82";"78,57";"103,31"
"110032 SAO MIGUEL DO GUAPORE";"0";"50,90";"60,83";"89,71";"105,30";"69,66";"62,07";"100,78";"64,01";"77,50";"81,15";"94,97";"108,89";"107,19";"77,05";"81,32";"95,53";"93,95";"81,05";"100,00";"103,83";"102,25";"103,03";"114,33";"90,80";"96,77";"18,55";"80,48"
"110033 NOVA MAMORE";"0";"56,63";"85,71";"30,72";"57,33";"51,66";"47,85";"93,25";"90,17";"94,72";"80,33";"106,82";"123,92";"115,91";"139,72";"103,39";"92,95";"97,91";"107,05";"98,09";"87,21";"112,47";"105,88";"123,29";"69,83";"68,99";"48,25";"83,76"
"110034 ALVORADA D\'OESTE";"0";"10,91";"48,02";"149,14";"154,45";"110,55";"113,81";"140,26";"143,44";"133,68";"87,94";"148,76";"122,95";"85,27";"97,15";"117,47";"113,54";"119,21";"81,66";"120,00";"138,62";"140,91";"173,91";"126,63";"94,58";"94,94";"82,58";"95,93"
"110037 ALTO ALEGRE DOS PARECIS";"0";"0";"36,29";"73,97";"114,67";"121,92";"114,03";"84,52";"83,99";"86,76";"188,81";"154,10";"197,96";"91,53";"173,75";"116,83";"105,45";"89,60";"106,93";"73,37";"100,00";"100,61";"107,56";"90,12";"89,88";"88,95";"58,72";"100,94"
"110040 ALTO PARAISO";"40,66";"68,58";"3,73";"68,50";"91,25";"125,74";"156,23";"124,92";"100,61";"109,20";"88,11";"139,26";"135,66";"173,91";"90,07";"113,10";"84,14";"89,31";"102,76";"112,31";"110,82";"117,06";"99,21";"125,98";"81,82";"80,17";"61,57";"98,42"
"110045 BURITIS";"0";"0";"0";"50,99";"119,78";"153,74";"258,73";"155,23";"92,54";"93,05";"68,20";"98,97";"393,08";"124,67";"142,80";"126,98";"84,42";"118,90";"117,03";"110,25";"138,20";"116,44";"130,48";"82,74";"91,03";"80,54";"67,41";"117,03"
"110050 NOVO HORIZONTE DO OESTE";"0";"28,68";"44,78";"91,70";"109,32";"101,30";"110,57";"72,59";"62,13";"73,36";"53,66";"116,43";"105,81";"100,00";"114,50";"128,70";"101,74";"122,61";"106,96";"120,95";"94,40";"50,82";"109,68";"133,33";"89,47";"106,59";"75,82";"76,65"
"110060 CACAULANDIA";"24,64";"10,50";"0,55";"0";"142,71";"65,26";"105,32";"79,34";"109,02";"96,72";"65,26";"96,04";"103,53";"104,94";"96,77";"97,59";"101,20";"74,70";"106,02";"86,76";"124,59";"149,21";"125,86";"181,03";"89,55";"88,73";"73,24";"77,59"
"110070 CAMPO NOVO DE RONDONIA";"200,00";"64,58";"316,89";"148,35";"111,00";"155,45";"146,70";"59,76";"50,14";"39,63";"76,71";"118,75";"104,17";"118,46";"63,16";"50,26";"79,49";"47,69";"61,54";"53,89";"27,44";"74,32";"27,62";"137,57";"55,56";"63,79";"46,55";"87,48"
"110080 CANDEIAS DO JAMARI";"0";"30,19";"24,40";"40,83";"80,39";"77,32";"84,95";"85,14";"73,63";"96,23";"128,64";"180,93";"437,66";"124,72";"86,84";"95,24";"115,18";"121,13";"113,10";"103,10";"50,70";"119,75";"128,72";"153,04";"72,04";"52,64";"38,29";"88,96"
"110090 CASTANHEIRAS";"0";"63,09";"49,01";"72,97";"107,21";"63,64";"74,31";"73,42";"78,21";"78,21";"76,19";"101,64";"105,08";"107,14";"83,33";"132,35";"114,71";"152,94";"141,18";"82,35";"45,28";"144,44";"141,30";"115,22";"67,27";"133,33";"56,41";"77,23"
"110092 CHUPINGUAIA";"0";"0";"0";"82,29";"123,71";"115,31";"117,17";"125,45";"104,42";"106,90";"92,74";"124,17";"146,30";"150,00";"130,53";"108,49";"134,91";"200,94";"174,53";"176,47";"147,46";"130,38";"111,39";"336,71";"73,20";"68,64";"39,64";"129,08"
"110094 CUJUBIM";"0";"0";"22,73";"95,88";"157,30";"179,55";"200,00";"102,55";"118,45";"112,50";"101,67";"120,10";"147,47";"187,16";"125,79";"144,83";"129,06";"135,47";"128,08";"128,57";"166,46";"117,82";"112,08";"99,17";"82,57";"109,09";"93,30";"121,90"
"110100 GOVERNADOR JORGE TEIXEIRA";"0";"81,52";"52,29";"66,54";"45,21";"92,38";"131,97";"131,49";"123,18";"74,60";"101,33";"188,81";"204,57";"260,00";"109,68";"117,09";"94,30";"124,05";"115,82";"128,74";"72,18";"111,30";"134,68";"134,68";"73,21";"113,76";"48,62";"99,01"
"110110 ITAPUA DO OESTE";"0";"0";"98,70";"50,71";"138,62";"101,31";"95,57";"102,19";"82,54";"74,36";"85,04";"122,38";"120,00";"153,85";"132,03";"141,88";"137,61";"229,91";"115,38";"107,30";"128,07";"111,38";"139,18";"106,19";"55,81";"90,53";"91,58";"99,64"
"110120 MINISTRO ANDREAZZA";"0";"62,11";"57,19";"78,88";"160,96";"100,00";"113,76";"82,92";"82,92";"72,60";"82,61";"103,27";"128,00";"85,71";"123,91";"102,19";"105,84";"91,97";"85,40";"105,00";"118,00";"131,73";"118,69";"80,37";"94,62";"71,00";"91,00";"87,08"
